iter	RMSE
0	15.46892386
1	15.18296469
2	14.86862154
3	14.5732638
4	14.31827201
5	14.10077742
6	13.88082566
7	13.66091029
8	13.45124266
9	13.19514464
10	12.94236719
11	12.7265937
12	12.52609226
13	12.35224736
14	12.15932309
15	11.93145415
16	11.73348354
17	11.54488967
18	11.34488818
19	11.141439
20	10.98330266
21	10.81084186
22	10.64824237
23	10.4816211
24	10.29318636
25	10.15720248
26	10.013496
27	9.854751732
28	9.706134898
29	9.564071228
30	9.451367166
31	9.318335863
32	9.197987211
33	9.078507289
34	8.93974785
35	8.829619245
36	8.704887625
37	8.610572915
38	8.504038938
39	8.397855681
40	8.304329905
41	8.223702214
42	8.123282662
43	8.047431814
44	7.964165007
45	7.875473732
46	7.788944685
47	7.702611371
48	7.621126305
49	7.547730698
50	7.483382035
51	7.406651942
52	7.335533175
53	7.284236401
54	7.212882959
55	7.146901276
56	7.08350579
57	7.033844675
58	6.977810934
59	6.926833656
60	6.870937059
61	6.815459082
62	6.755259276
63	6.695549228
64	6.641482112
65	6.596865161
66	6.55518982
67	6.506490711
68	6.463624436
69	6.410632555
70	6.364864893
71	6.326628229
72	6.29513291
73	6.257980143
74	6.218443128
75	6.190218293
76	6.150385769
77	6.112480006
78	6.078108155
79	6.043487507
80	6.015743091
81	5.978455114
82	5.945261314
83	5.914001182
84	5.890908915
85	5.866149749
86	5.8411896
87	5.805699061
88	5.774664841
89	5.747165601
90	5.712143079
91	5.688384383
92	5.663079145
93	5.644395796
94	5.623447562
95	5.596263089
96	5.57270094
97	5.54901347
98	5.529030691
99	5.502187946
100	5.483657912
101	5.462109616
102	5.444254365
103	5.419719087
104	5.401377405
105	5.384745289
106	5.365724295
107	5.343372228
108	5.323662779
109	5.303015588
110	5.284587062
111	5.266037142
112	5.250309489
113	5.236027077
114	5.224132406
115	5.210003575
116	5.198989125
117	5.187781121
118	5.165614625
119	5.147126295
120	5.137363543
121	5.122941324
122	5.105527101
123	5.091050962
124	5.070958047
