iter	Passed	Remaining
0	146	146123
1	149	74718
2	152	50783
3	156	38888
4	159	31750
5	163	27034
6	169	24028
7	172	21418
8	175	19355
9	178	17717
10	182	16427
11	186	15337
12	189	14383
13	192	13548
14	195	12821
15	198	12211
16	201	11667
17	205	11191
18	208	10781
19	212	10394
20	215	10043
21	217	9678
22	220	9351
23	222	9058
24	224	8772
25	226	8493
26	228	8237
27	230	7997
28	232	7771
29	233	7550
30	235	7345
31	236	7147
32	237	6971
33	239	6803
34	240	6633
35	241	6476
36	242	6322
37	244	6177
38	245	6049
39	246	5924
40	248	5801
41	249	5682
42	249	5561
43	251	5460
44	252	5362
45	254	5269
46	255	5177
47	256	5084
48	257	4994
49	258	4910
50	259	4828
51	260	4755
52	262	4686
53	263	4611
54	264	4538
55	265	4467
56	266	4407
57	267	4342
58	268	4279
59	269	4223
60	270	4167
61	271	4113
62	273	4066
63	275	4023
64	276	3983
65	278	3941
66	279	3894
67	281	3857
68	282	3813
69	283	3770
70	285	3729
71	286	3692
72	287	3654
73	289	3617
74	290	3580
75	292	3550
76	293	3520
77	294	3485
78	296	3453
79	297	3419
80	298	3386
81	299	3357
82	301	3327
83	302	3300
84	303	3268
85	304	3239
86	306	3217
87	308	3194
88	309	3166
89	310	3139
90	311	3112
91	312	3087
92	314	3063
93	315	3040
94	316	3017
95	317	2993
96	318	2969
97	320	2945
98	321	2922
99	322	2900
100	323	2879
101	324	2857
102	325	2837
103	327	2817
104	328	2800
105	329	2780
106	331	2764
107	332	2746
108	333	2727
109	334	2709
110	336	2692
111	337	2673
112	338	2655
113	339	2638
114	340	2621
115	341	2604
116	342	2587
117	343	2571
118	345	2555
119	346	2540
120	347	2524
121	348	2511
122	350	2496
123	351	2482
124	352	2469
125	353	2454
126	354	2440
127	356	2426
128	357	2413
129	358	2400
130	359	2387
131	361	2376
132	362	2365
133	364	2353
134	365	2342
135	367	2334
136	368	2323
137	370	2312
138	371	2300
139	372	2285
140	373	2274
141	373	2259
142	375	2248
143	376	2237
144	377	2228
145	379	2218
146	380	2210
147	382	2200
148	383	2190
149	384	2181
150	385	2168
151	386	2158
152	387	2146
153	388	2136
154	389	2125
155	391	2116
156	392	2107
157	393	2097
158	394	2088
159	395	2078
160	397	2069
161	397	2058
162	399	2049
163	400	2040
164	401	2031
165	402	2022
166	403	2011
167	404	2003
168	405	1995
169	407	1988
170	408	1980
171	409	1971
172	410	1963
173	411	1955
174	413	1947
175	414	1938
176	415	1930
177	415	1920
178	417	1914
179	418	1906
180	419	1899
181	420	1890
182	421	1882
183	422	1875
184	423	1867
185	424	1858
186	425	1851
187	426	1843
188	428	1837
189	429	1830
190	430	1823
191	431	1816
192	432	1809
193	433	1802
194	435	1796
195	436	1788
196	437	1781
197	438	1774
198	438	1766
199	439	1759
200	440	1752
201	441	1745
202	442	1738
203	443	1731
204	444	1724
205	445	1717
206	446	1710
207	447	1705
208	449	1700
209	450	1694
210	451	1688
211	452	1683
212	454	1677
213	455	1671
214	456	1666
215	457	1661
216	458	1655
217	460	1650
218	461	1644
219	462	1640
220	463	1635
221	465	1630
222	466	1625
223	467	1620
224	468	1615
225	470	1611
226	471	1607
227	473	1603
228	475	1599
229	476	1595
230	477	1589
231	478	1584
232	479	1579
233	480	1574
234	481	1568
235	483	1563
236	484	1558
237	485	1553
238	486	1548
239	487	1544
240	488	1539
241	489	1534
242	491	1529
243	492	1525
244	493	1520
245	494	1515
246	495	1510
247	496	1506
248	497	1501
249	498	1496
250	500	1492
251	501	1487
252	502	1483
253	503	1479
254	505	1475
255	506	1471
256	507	1467
257	508	1462
258	509	1458
259	510	1453
260	511	1449
261	513	1445
262	514	1440
263	515	1436
264	516	1432
265	517	1428
266	518	1424
267	519	1419
268	521	1416
269	522	1412
270	523	1409
271	524	1405
272	526	1400
273	527	1397
274	528	1393
275	529	1389
276	530	1385
277	531	1381
278	533	1377
279	534	1373
280	535	1369
281	536	1365
282	537	1361
283	538	1357
284	539	1354
285	540	1350
286	542	1346
287	543	1342
288	543	1338
289	544	1333
290	545	1329
291	546	1325
292	547	1321
293	548	1317
294	549	1313
295	550	1310
296	552	1308
297	554	1305
298	555	1303
299	557	1301
300	559	1298
301	560	1294
302	561	1291
303	562	1288
304	563	1284
305	564	1281
306	566	1279
307	568	1278
308	570	1276
309	572	1273
310	573	1270
311	575	1268
312	576	1265
313	577	1261
314	578	1258
315	580	1257
316	582	1255
317	584	1253
318	585	1250
319	587	1248
320	588	1245
321	590	1242
322	591	1239
323	593	1237
324	594	1234
325	595	1231
326	597	1228
327	598	1226
328	599	1223
329	601	1220
330	602	1217
331	604	1215
332	605	1212
333	606	1210
334	608	1207
335	609	1204
336	610	1202
